id,dateLabel,round,field,time,categoryId,categoryLabel,group,home,away,status,homeScore,awayScore,resultType,note
cal-18,17 DE MAYO FECHA 1,1,CAMPO 3,13:10,sub12,SUB 12 (A),GRUPO A,TOLENTINO FC,BENJAMIN FC,jugado,5,2,normal,
cal-19,17 DE MAYO FECHA 1,1,CAMPO 3,14:00,sub12,SUB 12 (B),GRUPO B,TALENTOS UNIDOS,CACHORROS FC,jugado,3,2,normal,
cal-20,17 DE MAYO FECHA 1,1,CAMPO 3,14:50,sub10,SUB 10 (A),GRUPO A,FOVA,RENACE JUVENTUD,jugado,1,5,normal,
cal-21,17 DE MAYO FECHA 1,1,,,,,,DESCANSA REMANENTE FC SUB 8 (B),,descansa,,,,
cal-22,17 DE MAYO FECHA 1,1,,,,,,DESCANSA REMANENTE FC SUB 10 (A),,descansa,,,,
cal-23,17 DE MAYO FECHA 1,1,,,,,,DESCANSA GUERREROS DE MANCHAY SUB 12 (A),,descansa,,,,
cal-24,17 DE MAYO FECHA 1,1,,,,,,DESCANSA RENACE JUVENTUD SUB 12 (B),,descansa,,,,
cal-25,24 DE MAYO FECHA 2,2,CAMPO 1,09:00,sub6,SUB 6,Único,RENACE JUVENTUD,GUERREROS DE MANCHAY,jugado,1,0,normal,
cal-26,24 DE MAYO FECHA 2,2,CAMPO 1,09:40,sub6,SUB 6,Único,TOLENTINO FC,BENJAMIN FC,jugado,1,2,normal,
cal-27,24 DE MAYO FECHA 2,2,CAMPO 1,10:20,sub6,SUB 6,Único,JM SPORT,CLUB DEPORTIVO LARA,jugado,0,2,normal,
cal-28,24 DE MAYO FECHA 2,2,CAMPO 1,11:00,sub8,SUB 8 (A),GRUPO A,JM SPORT,DREAM TEAM,jugado,4,0,normal,
cal-29,24 DE MAYO FECHA 2,2,CAMPO 2,09:00,sub8,SUB 8 (A),GRUPO A,TOLENTINO FC,RENACE JUVENTUD,jugado,2,4,normal,
cal-30,24 DE MAYO FECHA 2,2,CAMPO 2,09:40,sub8,SUB 8 (B),GRUPO B,MATHE SPORT,REMANENTE FC,jugado,2,5,normal,
cal-31,24 DE MAYO FECHA 2,2,CAMPO 2,10:20,sub8,SUB 8 (B),GRUPO B,BENJAMIN FC,GUERREROS DE MANCHAY,jugado,0,6,normal,
cal-32,24 DE MAYO FECHA 2,2,CAMPO 2,11:00,sub8,SUB 8 (A),GRUPO A,FOVA,JYB,jugado,2,0,normal,
cal-33,24 DE MAYO FECHA 2,2,CAMPO 2,12:00,sub10,SUB 10 (B),GRUPO B,GUERREROS DE MANCHAY,TALENTOS UNIDOS,jugado,2,1,normal,
cal-34,24 DE MAYO FECHA 2,2,CAMPO 2,12:50,sub10,SUB 10 (B),GRUPO B,VASQUEZ FC,JM SPORT,jugado,2,3,normal,
cal-35,24 DE MAYO FECHA 2,2,CAMPO 2,13:40,sub10,SUB 10 (A),GRUPO A,BENJAMIN FC,REMANENTE FC,jugado,0,5,normal,
cal-36,24 DE MAYO FECHA 2,2,CAMPO 2,14:30,sub10,SUB 10 (A),GRUPO A,FOVA,TALENTOS DEL SUR,jugado,1,0,normal,
cal-37,24 DE MAYO FECHA 2,2,CAMPO 3,09:00,sub12,SUB 12 (A),GRUPO A,TOLENTINO FC,FOVA,jugado,2,1,normal,
cal-38,24 DE MAYO FECHA 2,2,CAMPO 3,09:50,sub10,SUB 10 (B),GRUPO B,DREAM TEAM,TOLENTINO FC,jugado,3,1,normal,
cal-39,24 DE MAYO FECHA 2,2,CAMPO 3,10:40,sub10,SUB 10 (A),GRUPO A,MATHE SPORT,RENACE JUVENTUD,jugado,1,1,normal,
cal-40,24 DE MAYO FECHA 2,2,CAMPO 3,11:30,sub12,SUB 12 (B),GRUPO B,JM SPORT,CLUB DEPORTIVO LARA,jugado,4,3,normal,
cal-41,24 DE MAYO FECHA 2,2,CAMPO 3,12:20,sub12,SUB 12 (B),GRUPO B,RENACE JUVENTUD,FOVITA,jugado,1,5,normal,
cal-42,24 DE MAYO FECHA 2,2,CAMPO 3,13:10,sub12,SUB 12 (A),GRUPO A,GUERREROS DE MANCHAY,BENJAMIN FC,jugado,2,0,normal,
cal-43,24 DE MAYO FECHA 2,2,CAMPO 3,14:00,sub12,SUB 12 (A),GRUPO A,MATHE SPORT,SPORTING JF ONCE,jugado,0,7,normal,
cal-44,24 DE MAYO FECHA 2,2,CAMPO 3,14:50,sub12,SUB 12 (B),GRUPO B,TALENTOS UNIDOS,DREAM TEAM,jugado,3,1,normal,
cal-45,24 DE MAYO FECHA 2,2,,,,,,DESCANSA VASQUEZ FC SUB 8 (B),,descansa,,,,
cal-46,24 DE MAYO FECHA 2,2,,,,,,DESCANSA SPORTING JF ONCE SUB 10 (A),,descansa,,,,
cal-47,24 DE MAYO FECHA 2,2,,,,,,DESCANSA JYB SUB 12 (A),,descansa,,,,
cal-48,24 DE MAYO FECHA 2,2,,,,,,DESCANSA CACHORROS FC SUB 12 (B),,descansa,,,,
sub6-único-3-7,FECHA 3,3,,,sub6,Sub 6,Único,GUERREROS DE MANCHAY,JM SPORT,programado,,,,
sub6-único-4-8,FECHA 4,4,,,sub6,Sub 6,Único,JM SPORT,TOLENTINO FC,programado,,,,
sub6-único-3-9,FECHA 3,3,,,sub6,Sub 6,Único,TOLENTINO FC,CLUB DEPORTIVO LARA,programado,,,,
sub6-único-4-10,FECHA 4,4,,,sub6,Sub 6,Único,BENJAMIN FC,GUERREROS DE MANCHAY,programado,,,,
sub6-único-3-11,FECHA 3,3,,,sub6,Sub 6,Único,RENACE JUVENTUD,BENJAMIN FC,programado,,,,
sub6-único-4-12,FECHA 4,4,,,sub6,Sub 6,Único,CLUB DEPORTIVO LARA,RENACE JUVENTUD,programado,,,,
sub6-único-5-13,FECHA 5,5,,,sub6,Sub 6,Único,BENJAMIN FC,JM SPORT,programado,,,,
sub6-único-5-14,FECHA 5,5,,,sub6,Sub 6,Único,TOLENTINO FC,RENACE JUVENTUD,programado,,,,
sub6-único-5-15,FECHA 5,5,,,sub6,Sub 6,Único,CLUB DEPORTIVO LARA,GUERREROS DE MANCHAY,programado,,,,
sub8-grupo-a-3-7,FECHA 3,3,,,sub8,Sub 8 (A),GRUPO A,TOLENTINO FC,DREAM TEAM,programado,,,,
sub8-grupo-a-4-8,FECHA 4,4,,,sub8,Sub 8 (A),GRUPO A,TOLENTINO FC,JYB,programado,,,,
sub8-grupo-a-3-9,FECHA 3,3,,,sub8,Sub 8 (A),GRUPO A,RENACE JUVENTUD,JYB,programado,,,,
sub8-grupo-a-4-10,FECHA 4,4,,,sub8,Sub 8 (A),GRUPO A,DREAM TEAM,FOVA,programado,,,,
sub8-grupo-a-3-11,FECHA 3,3,,,sub8,Sub 8 (A),GRUPO A,JM SPORT,FOVA,programado,,,,
sub8-grupo-a-4-12,FECHA 4,4,,,sub8,Sub 8 (A),GRUPO A,RENACE JUVENTUD,JM SPORT,programado,,,,
sub8-grupo-a-5-13,FECHA 5,5,,,sub8,Sub 8 (A),GRUPO A,TOLENTINO FC,FOVA,programado,,,,
sub8-grupo-a-5-14,FECHA 5,5,,,sub8,Sub 8 (A),GRUPO A,JYB,JM SPORT,programado,,,,
sub8-grupo-a-5-15,FECHA 5,5,,,sub8,Sub 8 (A),GRUPO A,DREAM TEAM,RENACE JUVENTUD,programado,,,,
sub8-grupo-b-3-22,FECHA 3,3,,,sub8,Sub 8 (B),GRUPO B,BENJAMIN FC,REMANENTE FC,programado,,,,
sub8-grupo-b-4-23,FECHA 4,4,,,sub8,Sub 8 (B),GRUPO B,BENJAMIN FC,VASQUEZ FC,programado,,,,
sub8-grupo-b-3-24,FECHA 3,3,,,sub8,Sub 8 (B),GRUPO B,MATHE SPORT,VASQUEZ FC,programado,,,,
sub8-grupo-b-4-25,FECHA 4,4,,,sub8,Sub 8 (B),GRUPO B,REMANENTE FC,GUERREROS DE MANCHAY,programado,,,,
sub8-grupo-b-5-28,FECHA 5,5,,,sub8,Sub 8 (B),GRUPO B,REMANENTE FC,VASQUEZ FC,programado,,,,
sub8-grupo-b-5-29,FECHA 5,5,,,sub8,Sub 8 (B),GRUPO B,GUERREROS DE MANCHAY,MATHE SPORT,programado,,,,
sub10-grupo-a-3-9,FECHA 3,3,,,sub10,Sub 10 (A),GRUPO A,MATHE SPORT,SPORTING JF ONCE,programado,,,,
sub10-grupo-a-4-10,FECHA 4,4,,,sub10,Sub 10 (A),GRUPO A,MATHE SPORT,REMANENTE FC,programado,,,,
sub10-grupo-a-3-11,FECHA 3,3,,,sub10,Sub 10 (A),GRUPO A,RENACE JUVENTUD,TALENTOS DEL SUR,programado,,,,
sub10-grupo-a-4-12,FECHA 4,4,,,sub10,Sub 10 (A),GRUPO A,SPORTING JF ONCE,RENACE JUVENTUD,programado,,,,
sub10-grupo-a-3-13,FECHA 3,3,,,sub10,Sub 10 (A),GRUPO A,REMANENTE FC,FOVA,programado,,,,
sub10-grupo-a-4-14,FECHA 4,4,,,sub10,Sub 10 (A),GRUPO A,FOVA,BENJAMIN FC,programado,,,,
sub10-grupo-a-5-17,FECHA 5,5,,,sub10,Sub 10 (A),GRUPO A,MATHE SPORT,TALENTOS DEL SUR,programado,,,,
sub10-grupo-a-6-18,FECHA 6,6,,,sub10,Sub 10 (A),GRUPO A,MATHE SPORT,FOVA,programado,,,,
sub10-grupo-a-5-19,FECHA 5,5,,,sub10,Sub 10 (A),GRUPO A,REMANENTE FC,SPORTING JF ONCE,programado,,,,
sub10-grupo-a-6-20,FECHA 6,6,,,sub10,Sub 10 (A),GRUPO A,TALENTOS DEL SUR,REMANENTE FC,programado,,,,
sub10-grupo-a-5-21,FECHA 5,5,,,sub10,Sub 10 (A),GRUPO A,BENJAMIN FC,RENACE JUVENTUD,programado,,,,
sub10-grupo-a-6-22,FECHA 6,6,,,sub10,Sub 10 (A),GRUPO A,BENJAMIN FC,SPORTING JF ONCE,programado,,,,
sub10-grupo-a-7-25,FECHA 7,7,,,sub10,Sub 10 (A),GRUPO A,FOVA,SPORTING JF ONCE,programado,,,,
sub10-grupo-a-7-26,FECHA 7,7,,,sub10,Sub 10 (A),GRUPO A,RENACE JUVENTUD,REMANENTE FC,programado,,,,
sub10-grupo-a-7-27,FECHA 7,7,,,sub10,Sub 10 (A),GRUPO A,BENJAMIN FC,TALENTOS DEL SUR,programado,,,,
sub10-grupo-b-3-35,FECHA 3,3,,,sub10,Sub 10 (B),GRUPO B,GUERREROS DE MANCHAY,TOLENTINO FC,programado,,,,
sub10-grupo-b-4-36,FECHA 4,4,,,sub10,Sub 10 (B),GRUPO B,GUERREROS DE MANCHAY,JM SPORT,programado,,,,
sub10-grupo-b-3-37,FECHA 3,3,,,sub10,Sub 10 (B),GRUPO B,TALENTOS UNIDOS,JM SPORT,programado,,,,
sub10-grupo-b-4-38,FECHA 4,4,,,sub10,Sub 10 (B),GRUPO B,TOLENTINO FC,VASQUEZ FC,programado,,,,
sub10-grupo-b-3-39,FECHA 3,3,,,sub10,Sub 10 (B),GRUPO B,DREAM TEAM,VASQUEZ FC,programado,,,,
sub10-grupo-b-4-40,FECHA 4,4,,,sub10,Sub 10 (B),GRUPO B,TALENTOS UNIDOS,DREAM TEAM,programado,,,,
sub10-grupo-b-5-41,FECHA 5,5,,,sub10,Sub 10 (B),GRUPO B,GUERREROS DE MANCHAY,VASQUEZ FC,programado,,,,
sub10-grupo-b-5-42,FECHA 5,5,,,sub10,Sub 10 (B),GRUPO B,JM SPORT,DREAM TEAM,programado,,,,
sub10-grupo-b-5-43,FECHA 5,5,,,sub10,Sub 10 (B),GRUPO B,TOLENTINO FC,TALENTOS UNIDOS,programado,,,,
sub12-grupo-a-3-9,FECHA 3,3,,,sub12,Sub 12 (A),GRUPO A,GUERREROS DE MANCHAY,JYB,programado,,,,
sub12-grupo-a-4-10,FECHA 4,4,,,sub12,Sub 12 (A),GRUPO A,GUERREROS DE MANCHAY,FOVA,programado,,,,
sub12-grupo-a-3-11,FECHA 3,3,,,sub12,Sub 12 (A),GRUPO A,BENJAMIN FC,FOVA,programado,,,,
sub12-grupo-a-4-12,FECHA 4,4,,,sub12,Sub 12 (A),GRUPO A,JYB,SPORTING JF ONCE,programado,,,,
sub12-grupo-a-3-13,FECHA 3,3,,,sub12,Sub 12 (A),GRUPO A,TOLENTINO FC,MATHE SPORT,programado,,,,
sub12-grupo-a-4-14,FECHA 4,4,,,sub12,Sub 12 (A),GRUPO A,BENJAMIN FC,MATHE SPORT,programado,,,,
sub12-grupo-a-5-17,FECHA 5,5,,,sub12,Sub 12 (A),GRUPO A,GUERREROS DE MANCHAY,SPORTING JF ONCE,programado,,,,
sub12-grupo-a-6-18,FECHA 6,6,,,sub12,Sub 12 (A),GRUPO A,GUERREROS DE MANCHAY,MATHE SPORT,programado,,,,
sub12-grupo-a-5-19,FECHA 5,5,,,sub12,Sub 12 (A),GRUPO A,FOVA,MATHE SPORT,programado,,,,
sub12-grupo-a-6-20,FECHA 6,6,,,sub12,Sub 12 (A),GRUPO A,SPORTING JF ONCE,TOLENTINO FC,programado,,,,
sub12-grupo-a-5-21,FECHA 5,5,,,sub12,Sub 12 (A),GRUPO A,JYB,TOLENTINO FC,programado,,,,
sub12-grupo-a-6-22,FECHA 6,6,,,sub12,Sub 12 (A),GRUPO A,JYB,BENJAMIN FC,programado,,,,
sub12-grupo-a-7-25,FECHA 7,7,,,sub12,Sub 12 (A),GRUPO A,GUERREROS DE MANCHAY,TOLENTINO FC,programado,,,,
sub12-grupo-a-7-26,FECHA 7,7,,,sub12,Sub 12 (A),GRUPO A,SPORTING JF ONCE,BENJAMIN FC,programado,,,,
sub12-grupo-a-7-27,FECHA 7,7,,,sub12,Sub 12 (A),GRUPO A,FOVA,JYB,programado,,,,
sub12-grupo-b-3-37,FECHA 3,3,,,sub12,Sub 12 (B),GRUPO B,RENACE JUVENTUD,CACHORROS FC,programado,,,,
sub12-grupo-b-4-38,FECHA 4,4,,,sub12,Sub 12 (B),GRUPO B,RENACE JUVENTUD,CLUB DEPORTIVO LARA,programado,,,,
sub12-grupo-b-3-39,FECHA 3,3,,,sub12,Sub 12 (B),GRUPO B,FOVITA,CLUB DEPORTIVO LARA,programado,,,,
sub12-grupo-b-4-40,FECHA 4,4,,,sub12,Sub 12 (B),GRUPO B,CACHORROS FC,DREAM TEAM,programado,,,,
sub12-grupo-b-3-41,FECHA 3,3,,,sub12,Sub 12 (B),GRUPO B,JM SPORT,TALENTOS UNIDOS,programado,,,,
sub12-grupo-b-4-42,FECHA 4,4,,,sub12,Sub 12 (B),GRUPO B,FOVITA,TALENTOS UNIDOS,programado,,,,
sub12-grupo-b-5-45,FECHA 5,5,,,sub12,Sub 12 (B),GRUPO B,RENACE JUVENTUD,DREAM TEAM,programado,,,,
sub12-grupo-b-6-46,FECHA 6,6,,,sub12,Sub 12 (B),GRUPO B,RENACE JUVENTUD,TALENTOS UNIDOS,programado,,,,
sub12-grupo-b-5-47,FECHA 5,5,,,sub12,Sub 12 (B),GRUPO B,CLUB DEPORTIVO LARA,TALENTOS UNIDOS,programado,,,,
sub12-grupo-b-6-48,FECHA 6,6,,,sub12,Sub 12 (B),GRUPO B,DREAM TEAM,JM SPORT,programado,,,,
sub12-grupo-b-5-49,FECHA 5,5,,,sub12,Sub 12 (B),GRUPO B,CACHORROS FC,JM SPORT,programado,,,,
sub12-grupo-b-6-50,FECHA 6,6,,,sub12,Sub 12 (B),GRUPO B,CACHORROS FC,FOVITA,programado,,,,
sub12-grupo-b-7-53,FECHA 7,7,,,sub12,Sub 12 (B),GRUPO B,RENACE JUVENTUD,JM SPORT,programado,,,,
sub12-grupo-b-7-54,FECHA 7,7,,,sub12,Sub 12 (B),GRUPO B,DREAM TEAM,FOVITA,programado,,,,
sub12-grupo-b-7-55,FECHA 7,7,,,sub12,Sub 12 (B),GRUPO B,CLUB DEPORTIVO LARA,CACHORROS FC,programado,,,,
